,Unnamed: 0,X_timestamp,beat_hostname,enrichment_branch_name,system_memory_actual_free,system_memory_actual_used_bytes,system_memory_actual_used_pct,system_memory_free,system_memory_swap_free,system_memory_swap_used_bytes,system_memory_swap_used_pct,system_memory_used_bytes,system_memory_used_pct,system_diskio_io_time,system_diskio_read_count,system_diskio_read_time,system_diskio_write_bytes,system_diskio_write_count,system_diskio_write_time,system_cpu_idle_pct,system_cpu_iowait_pct,system_cpu_irq_pct,system_cpu_nice_pct,system_cpu_softirq_pct,system_cpu_steal_pct,system_cpu_system_pct,system_cpu_total_pct,system_cpu_user_pct,HBOS
82,90,133411,25,3,12.999,2.892,18.2,12.999,15.767000000000001,2.9989999999999997,15.98,2.892,18.2,0,0,0,0.0,0,0,3.93,0,0,0,0,0,0.05,0.07,0.02,7.471139950620474
83,93,133221,91,11,12.922,2.969,18.68,12.922,15.809000000000001,2.957,15.76,2.969,18.68,0,0,0,0.0,0,0,3.93,0,0,0,0,0,0.05,0.07,0.02,7.471139950620474
84,45,133256,61,7,12.868,3.023,19.02,12.868,13.879000000000001,3.012,17.83,3.023,19.02,0,0,0,3.0,0,0,3.98,0,0,0,0,0,0.02,0.02,0.01,7.469778878403618
85,23,133451,103,12,12.614,3.2769999999999997,20.62,12.614,13.729000000000001,3.162,18.72,3.2769999999999997,20.62,0,0,0,4.5,0,0,3.89,0,0,0,0,0,0.09,0.11,0.01,7.2902682899423406
86,35,133228,51,6,13.061,2.83,17.81,13.061,14.142000000000001,2.7489999999999997,16.28,2.83,17.81,0,0,0,0.0,0,0,3.94,0,0,0,0,0,0.05,0.06,0.01,7.252969306757372
87,65,133405,168,22,13.037,2.8539999999999996,17.96,13.037,14.052,2.839,16.81,2.8539999999999996,17.96,0,0,0,0.0,0,0,3.96,0,0,0,0,0,0.03,0.04,0.01,7.167976311846232
88,96,133114,100,12,12.651,3.24,20.39,12.651,13.579,3.312,19.61,3.24,20.39,0,0,0,4.03,0,0,3.93,0,0,0,0,0,0.05,0.07,0.02,7.135048518455458
89,27,133401,7,1,13.184000000000001,2.707,17.04,13.184000000000001,14.294,2.597,15.38,2.707,17.04,0,0,0,0.0,0,0,3.93,0,0,0,0,0,0.06,0.07,0.01,7.121154006010024
90,39,133005,126,15,12.609000000000002,3.282,20.66,12.609000000000002,13.55,3.341,19.78,3.282,20.66,0,0,0,0.0,0,0,3.93,0,0,0,0,0,0.06,0.07,0.01,7.070381683597236
91,22,133128,4,1,12.879000000000001,3.012,18.95,12.879000000000001,15.729000000000001,3.037,16.18,3.012,18.95,0,0,0,0.0,0,0,3.96,0,0,0,0,0,0.03,0.04,0.01,7.067604977428505
92,29,133258,128,16,13.339,2.552,16.06,13.339,16.217,2.549,13.58,2.552,16.06,0,0,0,9.75,0,0,3.94,0,0,0,0,0,0.05,0.06,0.01,7.066974402837936
