,X_timestamp,beat_hostname,enrichment_branch_name,system_memory_actual_free,system_memory_actual_used_bytes,system_memory_actual_used_pct,system_memory_free,system_memory_swap_free,system_memory_swap_used_bytes,system_memory_swap_used_pct,system_memory_used_bytes,system_memory_used_pct,system_cpu_idle_pct,system_cpu_iowait_pct,system_cpu_irq_pct,system_cpu_nice_pct,system_cpu_softirq_pct,system_cpu_steal_pct,system_cpu_system_pct,system_cpu_total_pct,system_cpu_user_pct,HBOS
0,132253,136,17,9.859,6.032,37.96,9.859,8.918,7.973,47.2,6.032,37.96,3.68,0,0,0,0,0,0.16,0.32,0.16,27.186351892205515
1,132125,28,3,11.277999999999999,4.613,29.03,11.277999999999999,11.251,5.64,33.39,4.613,29.03,3.83,0,0,0,0,0,0.14,0.17,0.03,26.40519513168215
2,132055,80,9,10.868,5.023,31.61,10.868,10.604000000000001,6.287000000000001,37.22,5.023,31.61,3.85,0,0,0,0,0,0.11,0.15,0.04,25.25906709600391
3,132333,186,21,10.277999999999999,5.6129999999999995,35.32,10.277999999999999,10.232999999999999,6.6579999999999995,39.41,5.6129999999999995,35.32,3.86,0,0,0,0,0,0.12,0.14,0.02,24.79897918058303
4,132022,41,5,11.135,4.756,29.93,11.135,12.845999999999998,5.92,31.54,4.756,29.93,3.9,0,0,0,0,0,0.08,0.1,0.02,23.162859657845026
5,132238,86,10,10.475999999999999,5.415,34.07,10.475999999999999,12.459000000000001,6.307,33.61,5.415,34.07,3.92,0,0,0,0,0,0.06,0.08,0.01,21.984199034837225
6,132158,115,14,11.517999999999999,4.373,27.52,11.517999999999999,12.127,4.763999999999999,28.21,4.373,27.52,3.93,0,0,0,0,0,0.06,0.07,0.01,21.984199034837225
7,132313,97,11,12.088,3.803,23.93,12.088,12.610999999999999,4.28,25.34,3.803,23.93,3.64,0,0,0,0,0,0.27,0.36,0.09,21.123522588474618
8,132022,179,23,1.155,2.735,70.31,1.155,4.048,3.7319999999999998,47.97,2.735,70.31,3.91,0,0,0,0,0,0.06,0.09,0.03,21.092326849229103
9,132121,172,22,11.412,4.479,28.18,11.412,12.495,4.396,26.02,4.479,28.18,3.95,0,0,0,0,0,0.04,0.05,0.01,20.583084120163896
10,132105,76,8,11.19,4.7010000000000005,29.58,11.19,12.179,4.712,27.89,4.7010000000000005,29.58,3.95,0,0,0,0,0,0.04,0.05,0.01,20.583084120163896
11,132418,155,20,12.005,3.886,24.46,12.005,12.700999999999999,4.19,24.81,3.886,24.46,3.77,0,0,0,0,0,0.18,0.23,0.05,20.383462709030326
12,132153,79,9,12.185,3.707,23.32,12.185,13.173,3.718,22.01,3.707,23.32,3.52,0,0,0,0,0,0.33,0.48,0.15,20.041169507139365
13,132059,42,5,12.154000000000002,3.738,23.52,12.154000000000002,13.140999999999998,3.75,22.2,3.738,23.52,3.61,0,0,0,0,0,0.08,0.39,0.31,19.54374989359745
14,132343,127,15,11.704,4.187,26.35,11.704,12.786,4.105,24.3,4.187,26.35,3.95,0,0,0,0,0,0.03,0.05,0.02,19.50640717574743
15,132406,161,20,13.912,1.979,12.46,13.912,14.982999999999999,1.9080000000000001,11.3,1.979,12.46,3.4,0,0,0,0,0,0.42,0.6,0.18,18.425934293243955
16,132021,37,4,13.690999999999999,2.2,13.85,13.690999999999999,14.76,2.131,12.62,2.2,13.85,3.28,0,0,0,0,0,0.59,0.72,0.13,18.425934293243955
17,132214,32,4,13.639000000000001,2.252,14.17,13.639000000000001,14.629000000000001,2.262,13.39,2.252,14.17,3.37,0,0,0,0,0,0.49,0.63,0.14,18.425934293243955
18,132012,44,5,12.056,3.835,24.13,12.056,12.798,4.093,24.23,3.835,24.13,3.88,0,0,0,0,0,0.1,0.12,0.03,17.842115363802048
19,132310,5,1,12.127,3.764,23.68,12.127,12.850999999999999,4.04,23.92,3.764,23.68,3.88,0,0,0,0,0,0.1,0.12,0.03,16.808055832392007
