,X_timestamp,X_version,X_id,X_index,X_score,X_type,beat_hostname,beat_version,enrichment_branch_name,metricset_module,metricset_name,metricset_rtt,actual_free,actual_used_bytes,actual_used_pct,free,swap_free,swap_total,swap_used_bytes,swap_used_pct,total,used_bytes,used_pct
17060,"December 18th 2018, 13:04:05.007",1,tUsBwmcBAOA7YPJGeCZr,metricbeat-000209,NA,doc,168,6.2.4,22,system,memory,,13.041,2.85,0.1793,13.041,14.061,16.891,2.83,0.1675,15.891,2.85,0.1793
17094,"December 18th 2018, 13:03:13.133",1,84kAwmcBX8H-MD0_-6Sd,metricbeat-000209,NA,doc,169,6.2.4,22,system,memory,,13.327,2.564,0.1614,13.327,14.304,16.891,2.587,0.1532,15.891,2.564,0.1614
17126,"December 18th 2018, 13:02:04.112",1,EmMTwmcBuqt-6aA362MW,metricbeat-000209,NA,doc,170,6.2.4,22,system,memory,,13.344,2.547,0.1603,13.344,14.362,16.891,2.529,0.1497,15.891,2.547,0.1603
17089,"December 18th 2018, 13:03:20.639",1,p-0BwmcBrehMbwjYXgaQ,metricbeat-000209,NA,doc,171,6.2.4,22,system,memory,,13.426,2.465,0.1551,13.426,14.519,16.891,2.372,0.1404,15.891,2.465,0.1551
17157,"December 18th 2018, 13:01:20.521",1,81gTwmcBAOA7YPJGvcCU,metricbeat-000209,NA,doc,172,6.2.4,22,system,memory,140,11.42,4.471,0.2813,11.42,12.528,16.891,4.363,0.2583,15.891,4.471,0.2813
17135,"December 18th 2018, 13:01:53.460",1,jukAwmcBn_oGi6rsxksI,metricbeat-000209,NA,doc,173,6.2.4,22,system,memory,170,13.335,2.556,0.1609,13.335,14.406,16.891,2.485,0.1471,15.891,2.556,0.1609
17083,"December 18th 2018, 13:03:28.972",1,hooBwmcBX8H-MD0_aHVQ,metricbeat-000209,NA,doc,174,6.2.4,22,system,memory,,11.818,4.073,0.2563,11.818,12.93,16.891,3.961,0.2345,15.891,4.073,0.2563
17050,"December 18th 2018, 13:04:34.089",1,U-cBwmcBxOZ1qs_pQWA1,metricbeat-000209,NA,doc,175,6.2.4,22,system,memory,,13.519,2.372,0.1493,13.519,14.575,16.891,2.316,0.1371,15.891,2.372,0.1493
17071,"December 18th 2018, 13:03:45.116",1,JekBwmcBn_oGi6rsKvLA,metricbeat-000209,NA,doc,185,6.2.4,22,system,memory,,13.004,2.887,0.1817,13.004,13.997,16.891,2.894,0.1714,15.891,2.887,0.1817
17088,"December 18th 2018, 13:03:20.909",1,KxMBwmcBN4R-DFd1X0UU,metricbeat-000209,NA,doc,176,6.2.4,23,system,memory,,12.764,3.127,0.1968,12.764,13.788,16.891,3.103,0.1837,15.891,3.127,0.1968
