,X.timestamp,X.version,X_id,X_index,X_score,X_type,beat.hostname,beat.version,enrichment.branch.name,metricset.module,metricset.name,metricset.rtt,system.network.in.bytes,system.network.in.dropped,system.network.in.errors,system.network.in.packets,system.network.name,system.network.out.bytes,system.network.out.dropped,system.network.out.errors,system.network.out.packets
38189,"December 18th 2018, 15:22:20.808",1,crI8wmcBbOSZnM2xVupn,metricbeat-000209,NA,doc,91,6.2.4,11,system,network,"4,016",332.543MB,0,0,"602,933",Ethernet,190.884MB,0,0,"632,812"
38538,"December 18th 2018, 15:18:37.873",1,_LQ7wmcBX8H-MD0_h80a,metricbeat-000209,NA,doc,92,6.2.4,11,system,network,"3,894",77.074MB,0,0,"153,591",Ethernet,44.121MB,0,0,"155,100"
38337,"December 18th 2018, 15:20:55.879",1,mDJUwmcBrehMbwjYNmum,metricbeat-000209,NA,doc,93,6.2.4,11,system,network,"1,193",931.109MB,0,0,"1,837,302",Ethernet,515.69MB,0,0,"1,963,943"
38258,"December 18th 2018, 15:21:37.218",1,Ai1UwmcBxOZ1qs_pWW0g,metricbeat-000209,NA,doc,95,6.2.4,11,system,network,962,83.155MB,0,0,"176,290",Ethernet,52.479MB,0,0,"184,687"
38432,"December 18th 2018, 15:19:54.749",1,gBc7wmcBrehMbwjYnriK,metricbeat-000209,NA,doc,96,6.2.4,11,system,network,"3,049",10.68MB,0,0,"21,113",Ethernet,5.336MB,0,0,"20,971"
38587,"December 18th 2018, 15:18:13.266",1,Bhc7wmcBrehMbwjYgEw9,metricbeat-000209,NA,doc,97,6.2.4,11,system,network,"1,002",74.422MB,0,0,"154,626",Ethernet,44.487MB,0,0,"162,533"
38467,"December 18th 2018, 15:19:22.030",1,wHU7wmcBAOA7YPJGk2XO,metricbeat-000209,NA,doc,98,6.2.4,11,system,network,"4,050",274.628MB,0,0,"623,164",Ethernet,180.461MB,0,0,"668,683"
38363,"December 18th 2018, 15:20:40.486",1,AnU7wmcBAOA7YPJGqLXt,metricbeat-000209,NA,doc,183,6.2.4,11,system,network,"3,039",13.038MB,0,0,"28,821",Ethernet,8.526MB,0,0,"29,035"
38320,"December 18th 2018, 15:21:07.273",1,EZBUwmcBAOA7YPJGPmdt,metricbeat-000209,NA,doc,99,6.2.4,12,system,network,"2,995",65.404MB,0,0,"145,909",Ethernet,40.213MB,0,0,"154,072"
38311,"December 18th 2018, 15:21:13.863",1,9oA7wmcBuqt-6aA3s0v1,metricbeat-000209,NA,doc,100,6.2.4,12,system,network,"1,041",65.114MB,0,0,"140,040",Ethernet,39.286MB,0,0,"145,839"
