,X_timestamp,X_version,X_id,X_index,X_score,X_type,beat_hostname,beat_version,enrichment_branch_name,metricset_module,metricset_name,metricset_rtt,system_cpu_cores,system_cpu_idle_pct,system_cpu_iowait_pct,system_cpu_irq_pct,system_cpu_nice_pct,system_cpu_softirq_pct,system_cpu_steal_pct,system_cpu_system_pct,system_cpu_total_pct,system_cpu_user_pct
17133,"December 18th 2018, 13:01:28.003",1,Z0oBwmcBAOA7YPJGHkNa,metricbeat-000209,NA,doc,22,6.2.4,2,system,cpu,,4,395.61%,0%,0%,0%,0%,0%,3.06%,0.04390,1.33%
17130,"December 18th 2018, 13:01:34.451",1,lSETwmcBN4R-DFd1yWXv,metricbeat-000209,NA,doc,23,6.2.4,2,system,cpu,,4,393.10%,0%,0%,0%,0%,0%,5.81%,0.06900,1.09%
17048,"December 18th 2018, 13:04:02.263",1,A_wkwmcBrehMbwjYdLcZ,metricbeat-000209,NA,doc,24,6.2.4,2,system,cpu,,4,396.35%,0%,0%,0%,0%,0%,2.27%,0.03650,1.38%
17043,"December 18th 2018, 13:04:11.409",1,t1QBwmcBuqt-6aA3OdNK,metricbeat-000209,NA,doc,25,6.2.4,3,system,cpu,,4,396.24%,0%,0%,0%,0%,0%,2.95%,0.03760,0.81%
17096,"December 18th 2018, 13:02:41.643",1,I5gUwmcBX8H-MD0_JLiu,metricbeat-000209,NA,doc,26,6.2.4,3,system,cpu,,4,342.17%,0%,0%,0%,0%,0%,45.35%,0.57830,12.48%
17089,"December 18th 2018, 13:02:53.376",1,pZQUwmcBbOSZnM2xLum0,metricbeat-000209,NA,doc,27,6.2.4,3,system,cpu,,4,394.65%,0%,0%,0%,0%,0%,4.53%,0.05350,0.83%
17140,"December 18th 2018, 13:01:25.304",1,ZfgTwmcBn_oGi6rsxGKe,metricbeat-000209,NA,doc,28,6.2.4,3,system,cpu,,4,392.94%,0%,0%,0%,0%,0%,5.67%,0.07060,1.40%
17092,"December 18th 2018, 13:02:51.632",1,4GMUwmcBuqt-6aA3Lbeu,metricbeat-000209,NA,doc,29,6.2.4,3,system,cpu,144,4,345.38%,0%,0%,0%,0%,0%,43.40%,0.54620,11.23%
17167,"December 18th 2018, 13:00:24.889",1,240AwmcB6ZGVNHRk5hMN,metricbeat-000209,NA,doc,30,6.2.4,3,system,cpu,,4,361.24%,0%,0%,0%,0%,0%,30.29%,0.38760,8.46%
17093,"December 18th 2018, 13:02:47.220",1,IBMBwmcBN4R-DFd1SQMT,metricbeat-000209,NA,doc,31,6.2.4,3,system,cpu,,4,347.73%,0%,0%,0%,0%,0%,40.91%,0.52270,11.36%
17108,"December 18th 2018, 13:02:14.380",1,C5wTwmcB6ZGVNHRk8C7S,metricbeat-000209,NA,doc,32,6.2.4,4,system,cpu,,4,398.35%,0%,0%,0%,0%,0%,1.21%,0.01650,0.44%
17054,"December 18th 2018, 13:03:51.235",1,_RIBwmcBN4R-DFd1LrY4,metricbeat-000209,NA,doc,33,6.2.4,4,system,cpu,,4,385.33%,0%,0%,0%,0%,0%,11.66%,0.14670,3.01%
17069,"December 18th 2018, 13:03:31.233",1,yucBwmcBxOZ1qs_pabiL,metricbeat-000209,NA,doc,34,6.2.4,4,system,cpu,,4,397.64%,0%,0%,0%,0%,0%,1.83%,0.02360,0.54%
17157,"December 18th 2018, 13:00:51.377",1,IusAwmcBrehMbwjYqndQ,metricbeat-000209,NA,doc,35,6.2.4,4,system,cpu,,4,395.06%,0%,0%,0%,0%,0%,4.17%,0.04940,0.77%
17168,"December 18th 2018, 13:00:24.637",1,EhsTwmcBdDbnrhqkmHE6,metricbeat-000209,NA,doc,36,6.2.4,4,system,cpu,,4,382.14%,0%,0%,0%,0%,0%,15.91%,0.17860,1.95%
