,X.timestamp,X.version,X_id,X_index,X_score,X_type,beat.hostname,beat.version,enrichment.branch.name,metricset.module,metricset.name,metricset.rtt,system.network.in.bytes,system.network.in.dropped,system.network.in.errors,system.network.in.packets,system.network.name,system.network.out.bytes,system.network.out.dropped,system.network.out.errors,system.network.out.packets
24862,"December 18th 2018, 17:42:00.231",1,dqVpwmcBAOA7YPJGBU7C,metricbeat-000209,NA,doc,177,6.2.4,23,system,network,"4,015",1.592GB,0,0,"1,833,954",Ethernet,334.787MB,0,0,"1,494,802"
24864,"December 18th 2018, 17:41:59.513",1,k6VpwmcBAOA7YPJGBU7C,metricbeat-000209,NA,doc,160,6.2.4,20,system,network,"3,874",215.93MB,0,0,"293,296",Ethernet,58.367MB,0,0,"273,455"
24869,"December 18th 2018, 17:41:57.570",1,d7V0wmcBAOA7YPJGQel5,metricbeat-000209,NA,doc,115,6.2.4,14,system,network,"3,901",990.372MB,0,0,"2,030,787",Ethernet,554.436MB,0,0,"2,061,688"
24871,"December 18th 2018, 17:41:55.709",1,kK9owmcBuqt-6aA38tvt,metricbeat-000209,NA,doc,123,6.2.4,15,system,network,"2,876",63.927MB,0,0,"145,569",Ethernet,119.698MB,0,0,"165,904"
24874,"December 18th 2018, 17:41:55.143",1,qeBowmcBbOSZnM2x8rFt,metricbeat-000209,NA,doc,134,6.2.4,16,system,network,"4,029",287.327MB,0,0,"639,405",Ethernet,170.854MB,0,0,"684,304"
24876,"December 18th 2018, 17:41:54.173",1,dfF0wmcBbOSZnM2xQGiT,metricbeat-000209,NA,doc,188,6.2.4,7,system,network,"1,847",73.426MB,0,0,"180,571",Ethernet,51.371MB,0,0,"186,572"
24880,"December 18th 2018, 17:41:52.746",1,0a9owmcBuqt-6aA379EI,metricbeat-000209,NA,doc,79,6.2.4,9,system,network,"2,945",2.164GB,0,0,"2,771,213",Ethernet,594.24MB,0,0,"2,404,315"
24883,"December 18th 2018, 17:41:43.371",1,FX50wmcBN4R-DFd1Ojpe,metricbeat-000209,NA,doc,146,6.2.4,18,system,network,"3,231",72.279MB,0,0,"159,009",Ethernet,44.03MB,0,0,"172,159"
24887,"December 18th 2018, 17:41:42.582",1,uERowmcBn_oGi6rsxKO4,metricbeat-000209,NA,doc,116,6.2.4,14,system,network,997,248.356MB,0,0,"361,132",Ethernet,83.421MB,0,0,"326,394"
24890,"December 18th 2018, 17:41:39.242",1,OkRowmcBn_oGi6rsxKFi,metricbeat-000209,NA,doc,138,6.2.4,17,system,network,"4,038",62.865MB,0,0,"141,960",Ethernet,38.995MB,0,0,"149,774"
24891,"December 18th 2018, 17:41:39.048",1,tq9owmcBuqt-6aA3w5Yp,metricbeat-000209,NA,doc,14,6.2.4,2,system,network,997,284.688MB,0,0,"673,266",Ethernet,212.587MB,0,0,"729,283"
24895,"December 18th 2018, 17:41:38.230",1,5eBowmcBbOSZnM2xumZW,metricbeat-000209,NA,doc,40,6.2.4,4,system,network,997,84.32MB,0,0,"180,864",Ethernet,50.835MB,0,0,"188,772"
24899,"December 18th 2018, 17:41:37.158",1,7UdowmcBrehMbwjYuh9V,metricbeat-000209,NA,doc,95,6.2.4,11,system,network,"4,387",132.519MB,0,0,"279,190",Ethernet,86.24MB,0,0,"290,573"
24902,"December 18th 2018, 17:41:34.609",1,rvV0wmcBX8H-MD0_NmqS,metricbeat-000209,NA,doc,23,6.2.4,2,system,network,"4,059",114.448MB,0,0,"234,068",Ethernet,74.82MB,0,0,"251,693"
24904,"December 18th 2018, 17:41:31.546",1,6OdowmcB6ZGVNHRkn4BX,metricbeat-000209,NA,doc,189,6.2.4,21,system,network,"3,818",64.353MB,0,0,"144,955",Ethernet,38.905MB,0,0,"153,017"
24908,"December 18th 2018, 17:41:28.237",1,769owmcBuqt-6aA3jWUt,metricbeat-000209,NA,doc,22,6.2.4,2,system,network,"3,012",381.94MB,0,0,"902,569",Ethernet,257.819MB,0,0,"980,846"
24910,"December 18th 2018, 17:41:27.902",1,NOBowmcBbOSZnM2xjELv,metricbeat-000209,NA,doc,4,6.2.4,1,system,network,843,2.753GB,0,0,"3,310,113",Ethernet,600.051MB,0,0,"2,590,721"
24913,"December 18th 2018, 17:41:27.105",1,_EZowmcBrehMbwjYh-4c,metricbeat-000209,NA,doc,190,6.2.4,21,system,network,"3,832",960.891MB,0,0,"2,163,147",Ethernet,614.338MB,0,0,"2,346,924"
24916,"December 18th 2018, 17:41:26.209",1,N_V0wmcBX8H-MD0_MWTi,metricbeat-000209,NA,doc,178,6.2.4,23,system,network,"3,052",48.394MB,0,0,"101,199",Ethernet,27.738MB,0,0,"104,694"
24918,"December 18th 2018, 17:41:25.985",1,gaRowmcBAOA7YPJGic3c,metricbeat-000209,NA,doc,119,6.2.4,14,system,network,"3,874",366.311MB,0,0,"813,720",Ethernet,230.304MB,0,0,"851,136"
24923,"December 18th 2018, 17:41:25.813",1,41h0wmcBrehMbwjYMQT-,metricbeat-000209,NA,doc,77,6.2.4,8,system,network,"4,050","1,008.212MB",63,0,"2,273,979",Ethernet,762.929MB,0,0,"2,495,094"
24925,"December 18th 2018, 17:41:25.578",1,L0ZowmcBrehMbwjYhu32,metricbeat-000209,NA,doc,139,6.2.4,17,system,network,"1,005",589.202MB,0,0,"1,171,093",Ethernet,302.841MB,0,0,"1,235,397"
24928,"December 18th 2018, 17:41:25.326",1,xkFowmcBxOZ1qs_pfb6s,metricbeat-000209,NA,doc,191,6.2.4,21,system,network,"1,961",252.833MB,0,0,"5,677,522",Ethernet,1.244GB,0,0,"5,068,735"
24932,"December 18th 2018, 17:41:25.231",1,Qa9owmcBuqt-6aA3fFFi,metricbeat-000209,NA,doc,28,6.2.4,3,system,network,"1,002",136.065MB,0,0,"6,211,872",Ethernet,1.531GB,0,0,"5,730,797"
24933,"December 18th 2018, 17:41:24.408",1,eXh0wmcBdDbnrhqkMObo,metricbeat-000209,NA,doc,147,6.2.4,18,system,network,"3,394",258.42MB,0,0,"354,905",Ethernet,80.466MB,0,0,"326,040"
24936,"December 18th 2018, 17:41:23.766",1,2GdowmcBdDbnrhqkesIH,metricbeat-000209,NA,doc,148,6.2.4,18,system,network,"1,002",81.763MB,0,0,"174,148",Ethernet,44.917MB,0,0,"185,062"
24940,"December 18th 2018, 17:41:23.577",1,q_F0wmcBbOSZnM2xMEfD,metricbeat-000209,NA,doc,157,6.2.4,20,system,network,"3,049",104.43MB,0,0,"228,628",Ethernet,76.561MB,0,0,"245,595"
24944,"December 18th 2018, 17:41:20.876",1,cG1owmcBN4R-DFd1ay6T,metricbeat-000209,NA,doc,140,6.2.4,17,system,network,"4,029",119.692MB,0,0,"161,243",Ethernet,36.671MB,0,0,"148,993"
24947,"December 18th 2018, 17:41:20.428",1,_m1owmcBN4R-DFd1ay2T,metricbeat-000209,NA,doc,172,6.2.4,22,system,network,"2,881",1.218GB,0,0,"2,697,764",Ethernet,825.868MB,0,0,"2,955,688"
24950,"December 18th 2018, 17:41:15.439",1,gFd0wmcBrehMbwjYLvvL,metricbeat-000209,NA,doc,156,6.2.4,20,system,network,"2,882",15.683MB,0,0,"32,389",Ethernet,9.351MB,0,0,"33,293"
24951,"December 18th 2018, 17:41:13.839",1,F-BowmcBbOSZnM2xWAYO,metricbeat-000209,NA,doc,100,6.2.4,12,system,network,"5,086",81.117MB,0,0,"172,191",Ethernet,47.074MB,0,0,"178,196"
24954,"December 18th 2018, 17:41:11.550",1,kqRowmcBAOA7YPJGSIne,metricbeat-000209,NA,doc,121,6.2.4,14,system,network,"3,041",704.734MB,0,0,"1,376,248",Ethernet,432.039MB,0,0,"1,419,098"
24957,"December 18th 2018, 17:41:10.063",1,#NAME?,metricbeat-000209,NA,doc,131,6.2.4,16,system,network,"3,514",317.713MB,0,0,"471,563",Ethernet,89.662MB,0,0,"409,647"
24962,"December 18th 2018, 17:41:07.326",1,nUZowmcBrehMbwjYO6AI,metricbeat-000209,NA,doc,99,6.2.4,12,system,network,"2,875",71.098MB,0,0,"158,550",Ethernet,43.775MB,0,0,"167,821"
24965,"December 18th 2018, 17:41:06.068",1,FGdowmcBdDbnrhqkOnZV,metricbeat-000209,NA,doc,153,6.2.4,19,system,network,"1,025",73.59MB,0,0,"164,401",Ethernet,45.277MB,0,0,"173,888"
24966,"December 18th 2018, 17:40:58.529",1,E-NowmcBX8H-MD0_OPTz,metricbeat-000209,NA,doc,42,6.2.4,5,system,network,"5,051",827.865MB,0,0,"1,626,112",Ethernet,456.851MB,0,0,"1,637,212"
24969,"December 18th 2018, 17:40:57.897",1,YKRowmcBAOA7YPJGOGHc,metricbeat-000209,NA,doc,114,6.2.4,13,system,network,"2,900",1.789GB,0,0,"4,242,048",Ethernet,1.298GB,0,0,"4,863,944"
24972,"December 18th 2018, 17:40:56.008",1,10ZowmcBrehMbwjYN5JQ,metricbeat-000209,NA,doc,93,6.2.4,11,system,network,"3,039",944.836MB,0,0,"1,882,467",Ethernet,528.922MB,0,0,"2,010,305"
24976,"December 18th 2018, 17:40:54.351",1,emxowmcBN4R-DFd1N-A-,metricbeat-000209,NA,doc,80,6.2.4,9,system,network,"3,011",400.355MB,0,0,"6,986,927",Ethernet,1.636GB,0,0,"6,820,862"
24980,"December 18th 2018, 17:40:52.722",1,FVJ0wmcBxOZ1qs_pKrw9,metricbeat-000209,NA,doc,118,6.2.4,14,system,network,"3,028",383.268MB,0,0,"907,230",Ethernet,251.774MB,0,0,"960,906"
24982,"December 18th 2018, 17:40:51.118",1,QfV0wmcBX8H-MD0_KkYg,metricbeat-000209,NA,doc,35,6.2.4,4,system,network,"2,004",73.26MB,0,0,"162,116",Ethernet,45.537MB,0,0,"172,623"
24984,"December 18th 2018, 17:40:50.771",1,8kFnwmcBxOZ1qs_p-E39,metricbeat-000209,NA,doc,30,6.2.4,3,system,network,"3,058",21.211MB,0,0,"43,580",Ethernet,10.269MB,0,0,"44,315"
24987,"December 18th 2018, 17:40:49.475",1,fMB0wmcBuqt-6aA3KWZc,metricbeat-000209,NA,doc,144,6.2.4,18,system,network,"3,847",28.287MB,0,0,"76,784",Ethernet,22.662MB,0,0,"78,526"
24992,"December 18th 2018, 17:40:48.170",1,KOZnwmcB6ZGVNHRk9vwy,metricbeat-000209,NA,doc,143,6.2.4,18,system,network,"3,993",102.058MB,0,0,"227,789",Ethernet,62.814MB,0,0,"234,097"
