,X_timestamp,beat_hostname,enrichment_branch_name,system_cpu_idle_pct,system_cpu_iowait_pct,system_cpu_irq_pct,system_cpu_nice_pct,system_cpu_softirq_pct,system_cpu_steal_pct,system_cpu_system_pct,system_cpu_total_pct,system_cpu_user_pct,system_cpu_idle_pct.1,system_cpu_iowait_pct.1,system_cpu_irq_pct.1,system_cpu_nice_pct.1,system_cpu_softirq_pct.1,system_cpu_steal_pct.1,system_cpu_system_pct.1,system_cpu_total_pct.1,system_cpu_user_pct.1,system_cpu_idle_pct.2,system_cpu_iowait_pct.2,system_cpu_irq_pct.2,system_cpu_nice_pct.2,system_cpu_softirq_pct.2,system_cpu_steal_pct.2,system_cpu_system_pct.2,system_cpu_total_pct.2,system_cpu_user_pct.2,HBOS
95,134901,7,1,3.96,0,0,0,0,0,0.03,0.04,0.01,3.96,0,0,0,0,0,0.03,0.04,0.01,3.91,0,0,0,0,0,0.07,0.09,0.02,3.5779546852611253
96,134621,172,22,3.94,0,0,0,0,0,0.04,0.06,0.02,3.94,0,0,0,0,0,0.04,0.06,0.02,3.96,0,0,0,0,0,0.04,0.04,0.01,3.366499595666003
97,134829,174,22,3.96,0,0,0,0,0,0.03,0.04,0.01,3.96,0,0,0,0,0,0.03,0.04,0.01,3.93,0,0,0,0,0,0.04,0.07,0.03,3.3100930528498016
98,134529,74,8,3.95,0,0,0,0,0,0.03,0.05,0.02,3.95,0,0,0,0,0,0.03,0.05,0.02,3.96,0,0,0,0,0,0.03,0.04,0.01,3.1082758319298796
99,134654,188,7,3.98,0,0,0,0,0,0.02,0.02,0.01,3.98,0,0,0,0,0,0.02,0.02,0.01,3.87,0,0,0,0,0,0.12,0.13,0.02,2.942497873164063
100,134828,130,16,3.97,0,0,0,0,0,0.02,0.03,0.01,3.97,0,0,0,0,0,0.02,0.03,0.01,3.9,0,0,0,0,0,0.09,0.1,0.02,2.7237783819378665
101,134906,83,9,3.93,0,0,0,0,0,0.06,0.07,0.01,3.93,0,0,0,0,0,0.06,0.07,0.01,3.94,0,0,0,0,0,0.05,0.06,0.01,2.635946632238826
102,134525,36,4,3.94,0,0,0,0,0,0.05,0.06,0.01,3.94,0,0,0,0,0,0.05,0.06,0.01,3.95,0,0,0,0,0,0.04,0.05,0.01,2.5731558023793597
103,134505,126,15,3.94,0,0,0,0,0,0.05,0.06,0.01,3.94,0,0,0,0,0,0.05,0.06,0.01,3.95,0,0,0,0,0,0.04,0.05,0.01,2.5731558023793597
104,134747,12,2,3.93,0,0,0,0,0,0.07,0.07,0.01,3.93,0,0,0,0,0,0.07,0.07,0.01,3.97,0,0,0,0,0,0.02,0.03,0.01,2.5602259183006884
